frame,detections
786,0:0.83:576.6:469.4:243.3:502.5
787,0:0.82:579.8:465.5:225.5:515.6
788,0:0.82:585.5:469.0:208.4:518.7
789,0:0.85:588.3:470.1:197.9:515.9
790,0:0.85:586.3:472.6:207.3:515.5
791,0:0.83:585.3:480.4:223.3:523.6
792,0:0.87:588.8:479.5:278.4:516.9
793,0:0.92:608.5:488.8:329.3:535.9
794,0:0.93:622.0:489.7:361.5:538.5
795,0:0.92:636.8:491.8:378.4:527.2
796,0:0.84:653.8:486.6:392.8:503.7
797,0:0.85:691.3:490.3:348.6:500.4
798,0:0.85:700.5:496.0:373.6:510.3
799,0:0.90:738.2:500.7:317.4:512.4
800,0:0.88:748.6:495.6:288.0:498.6
801,0:0.91:757.6:500.7:307.9:497.5
802,0:0.88:768.8:502.6:286.8:501.0
803,0:0.84:780.7:499.5:245.4:502.4
804,0:0.85:777.8:496.8:201.1:502.8
805,0:0.86:797.2:496.9:190.8:505.8
806,0:0.80:813.5:491.8:160.9:499.9
807,0:0.83:831.7:494.4:139.5:491.3
808,0:0.82:855.3:501.6:135.1:515.0
809,0:0.81:877.3:498.8:140.3:520.8
810,0:0.83:881.8:497.7:136.8:509.8
811,0:0.86:898.7:501.4:168.6:516.2
812,0:0.85:906.8:501.3:186.0:512.9
813,0:0.85:910.3:501.3:193.9:495.3
814,0:0.82:924.3:501.4:217.6:485.3
815,0:0.85:939.5:507.8:253.2:487.2
816,0:0.85:942.8:510.8:253.4:492.9
817,0:0.87:957.2:511.9:281.8:499.7
818,0:0.88:969.6:506.4:252.9:485.8
819,0:0.86:981.2:503.5:248.5:486.3
820,0:0.80:990.6:499.7:248.0:474.0
821,0:0.86:1023.6:501.6:239.1:462.6
822,0:0.85:1046.8:494.2:239.9:484.2
823,0:0.84:1065.2:494.4:219.8:473.4
824,0:0.86:1081.5:493.4:212.8:467.0
825,0:0.83:1096.7:492.5:203.4:466.8
826,0:0.84:1111.7:494.5:181.4:466.5
827,0:0.87:1113.3:504.6:194.4:481.2
828,0:0.87:1122.0:509.0:207.7:489.8
829,0:0.89:1127.4:509.5:211.3:484.8
830,0:0.90:1139.7:513.5:233.5:486.6
831,0:0.89:1141.5:531.9:247.8:508.1
832,0:0.90:1150.5:540.0:258.0:513.1
833,0:0.90:1158.1:542.0:263.6:505.9
834,0:0.89:1170.9:544.8:273.8:498.4
835,0:0.89:1178.6:551.7:281.7:501.7
836,0:0.89:1195.5:556.7:271.6:511.7
837,0:0.90:1209.4:557.6:286.0:515.3
838,0:0.87:1230.9:560.4:270.7:510.3
839,0:0.88:1239.0:561.7:275.3:509.9
840,0:0.79:1255.4:554.9:273.1:503.8
841,0:0.86:1274.5:557.2:270.7:504.9
842,0:0.89:1308.0:552.7:224.9:495.3
843,0:0.87:1320.4:550.1:220.3:486.7
844,0:0.88:1341.8:551.2:246.8:510.6
845,0:0.91:1346.9:552.9:241.2:499.9
846,0:0.90:1355.0:556.7:254.5:503.7
847,0:0.90:1361.0:561.6:268.9:500.2
848,0:0.90:1369.6:554.7:289.8:482.8
849,0:0.90:1375.0:568.6:303.9:501.1
850,0:0.90:1383.2:577.7:316.7:498.0
851,0:0.90:1389.4:578.6:333.8:495.7
852,0:0.91:1399.0:584.2:345.2:489.5
853,0:0.88:1409.8:605.6:360.4:518.7
854,0:0.89:1428.0:600.0:381.0:535.8
855,0:0.90:1433.9:600.0:396.8:525.2
856,0:0.91:1453.9:598.1:398.6:518.0
857,0:0.89:1474.2:603.9:378.6:506.4
858,0:0.89:1493.4:607.6:374.1:504.7
859,0:0.88:1515.3:602.3:371.3:501.5
860,0:0.86:1531.0:605.3:374.7:512.1
861,0:0.87:1559.2:600.9:354.0:508.2
862,0:0.88:1573.1:596.7:338.2:492.2
863,0:0.89:1592.3:599.6:322.5:485.4
864,0:0.85:1599.4:609.3:326.5:495.7
865,0:0.84:1608.0:622.2:335.2:508.7
866,0:0.75:1608.1:637.6:333.4:514.1;0:0.32:1607.2:729.0:328.7:323.5
867,0:0.64:1532.6:800.4:182.0:244.7
868,0:0.70:1620.3:692.4:361.2:508.0
869,0:0.85:1621.4:701.3:366.5:547.8
870,0:0.67:1625.9:736.4:377.5:616.9
871,0:0.68:1635.7:735.8:396.2:644.8
872,0:0.68:1649.4:733.4:393.0:573.1
873,0:0.69:1656.0:744.9:383.0:531.2
