frame,detections
224,0:0.90:155.7:539.4:310.6:554.3;0:0.64:1661.5:561.8:205.0:465.8
225,0:0.91:155.6:536.8:309.2:555.4;0:0.73:1673.6:556.2:217.3:467.4
226,0:0.85:164.4:531.5:324.7:551.3;0:0.67:1680.8:561.0:224.0:491.9
227,0:0.90:209.1:518.2:348.6:536.0;0:0.64:1689.7:563.3:244.3:489.7
228,0:0.90:232.8:528.2:356.3:549.6;0:0.77:1696.1:571.2:256.0:481.7
229,0:0.89:260.4:529.5:353.8:547.9;0:0.51:1700.3:571.6:252.2:474.7;0:0.41:1700.2:644.6:249.2:329.6
230,0:0.89:277.1:532.9:327.0:535.4;0:0.55:1701.7:545.6:249.5:524.8
231,0:0.89:322.0:534.6:376.1:538.7;0:0.26:1707.2:698.4:224.1:213.1
232,0:0.87:349.5:535.6:390.6:535.5
233,0:0.87:366.4:538.2:377.3:531.5
234,0:0.90:377.1:535.9:350.1:533.2
235,0:0.92:385.8:534.8:350.3:538.7
236,0:0.90:385.9:529.8:343.9:537.8
237,0:0.90:399.2:529.4:301.9:537.4
238,0:0.86:409.4:523.3:275.8:539.8;0:0.29:1776.6:718.4:83.0:170.9
239,0:0.86:419.2:510.9:253.7:513.6
240,0:0.86:429.7:504.7:230.5:508.4
241,0:0.86:436.4:506.5:213.7:520.5
242,0:0.88:443.0:496.8:194.6:509.4
243,0:0.82:455.8:501.1:196.9:513.1
244,0:0.87:468.0:504.7:215.8:511.8
245,0:0.84:485.0:504.9:254.8:506.5
246,0:0.78:510.4:506.5:297.0:500.3
247,0:0.81:551.1:504.9:285.6:504.2;0:0.47:492.4:503.5:166.0:487.1
248,0:0.79:560.4:504.0:335.2:497.6;0:0.62:494.1:498.1:192.7:493.8
249,0:0.73:560.2:497.9:364.3:488.9;0:0.64:499.6:496.1:242.2:486.9
250,0:0.77:588.8:496.0:348.9:492.3;0:0.35:538.4:497.1:245.3:479.3
251,0:0.90:609.2:495.9:327.8:487.6
252,0:0.89:629.0:501.8:316.4:481.1
253,0:0.90:632.9:502.2:311.0:476.7
254,0:0.90:641.6:503.5:297.7:475.2
255,0:0.89:652.7:501.6:270.1:475.6
256,0:0.87:664.4:501.6:247.0:472.4
257,0:0.87:678.2:498.5:220.0:484.7
258,0:0.84:694.1:500.5:190.3:490.1
259,0:0.88:701.6:496.7:160.7:490.6
260,0:0.86:715.0:492.5:149.3:498.1
261,0:0.86:729.1:495.6:137.4:497.8
262,0:0.84:747.6:493.2:147.4:481.1
263,0:0.85:765.7:495.8:162.1:494.6
264,0:0.86:769.2:499.2:167.4:488.8
265,0:0.87:792.7:497.8:202.5:487.6
266,0:0.87:800.0:497.4:206.0:484.9
267,0:0.86:813.2:498.5:221.3:481.1
268,0:0.88:822.6:499.1:247.1:481.2
269,0:0.89:839.9:501.6:275.8:481.4
270,0:0.90:840.3:504.5:268.3:481.4
271,0:0.89:842.6:501.4:252.0:476.8
272,0:0.83:857.0:499.8:252.4:480.0
273,0:0.78:873.6:495.4:231.7:483.7
274,0:0.80:898.4:467.1:175.1:438.8
275,0:0.83:921.0:469.0:167.2:447.9
276,0:0.80:935.8:463.4:132.7:442.8
277,0:0.79:945.1:463.2:129.8:441.9
278,0:0.63:963.7:461.7:129.3:446.3
279,0:0.81:976.7:471.9:129.8:461.5
280,0:0.82:983.7:469.8:134.4:457.3
281,0:0.84:991.0:476.7:147.0:465.9
282,0:0.85:997.4:476.5:165.4:453.7
283,0:0.86:1005.4:475.9:172.3:465.1
284,0:0.87:1017.6:481.4:193.9:456.3
285,0:0.87:1030.3:482.2:220.8:448.0
286,0:0.89:1037.2:485.9:225.9:445.3
287,0:0.86:1047.5:485.1:227.3:446.8
288,0:0.87:1054.0:486.0:230.3:445.8;0:0.51:1777.3:710.5:85.4:223.5
289,0:0.89:1080.6:490.2:236.4:445.0;0:0.44:1779.5:721.6:100.3:241.8
290,0:0.80:1086.2:490.6:228.4:449.5;0:0.36:1772.1:720.1:104.3:286.8
291,0:0.79:1107.9:487.4:212.8:440.8;0:0.71:1763.2:727.3:117.2:289.9
292,0:0.74:1125.5:487.4:206.0:443.2;0:0.67:1747.6:726.2:146.3:301.3;0:0.51:1156.4:489.9:145.4:450.7
293,0:0.79:1144.6:484.9:208.5:450.6;0:0.68:1734.7:714.7:164.0:315.5
294,0:0.80:1167.3:484.8:206.2:449.2;0:0.79:1726.7:705.8:183.8:315.7
295,0:0.80:1175.3:484.9:199.0:454.6
